Dataset,Model,NoiseLevel,Accuracy
Satellite,PBNN,0.0,92.0
Spambase,PBNN,0.0,88.8143
Yeast,PBNN,0.0,84.8433
Iris,PBNN,0.0,92.0
Diabetes,PBNN,0.0,88.1212
Vehicle,PBNN,0.0,91.1712
Satellite,FP32,0.0,92.0
Spambase,FP32,0.0,89.4417
Yeast,FP32,0.0,85.0226
Iris,FP32,0.0,92.0
Diabetes,FP32,0.0,87.9428
Vehicle,FP32,0.0,91.2851
Satellite,BinaryNet,0.0,92.0
Spambase,BinaryNet,0.0,88.5034
Yeast,BinaryNet,0.0,85.8385
Iris,BinaryNet,0.0,92.0
Diabetes,BinaryNet,0.0,87.5929
Vehicle,BinaryNet,0.0,90.723
Satellite,PBNN,0.04,91.2666
Spambase,PBNN,0.04,87.7056
Yeast,PBNN,0.04,85.1062
Iris,PBNN,0.04,92.0
Diabetes,PBNN,0.04,88.2864
Vehicle,PBNN,0.04,90.563
Satellite,FP32,0.04,89.0779
Spambase,FP32,0.04,86.8297
Yeast,FP32,0.04,84.192
Iris,FP32,0.04,92.0
Diabetes,FP32,0.04,86.792
Vehicle,FP32,0.04,91.7622
Satellite,BinaryNet,0.04,90.1567
Spambase,BinaryNet,0.04,88.0085
Yeast,BinaryNet,0.04,84.0632
Iris,BinaryNet,0.04,92.0
Diabetes,BinaryNet,0.04,85.6478
Vehicle,BinaryNet,0.04,88.8072
Satellite,PBNN,0.09,89.5017
Spambase,PBNN,0.09,87.3305
Yeast,PBNN,0.09,83.3317
Iris,PBNN,0.09,92.0
Diabetes,PBNN,0.09,88.1717
Vehicle,PBNN,0.09,87.1262
Satellite,FP32,0.09,88.329
Spambase,FP32,0.09,83.8898
Yeast,FP32,0.09,81.0025
Iris,FP32,0.09,91.7512
Diabetes,FP32,0.09,84.0314
Vehicle,FP32,0.09,85.4178
Satellite,BinaryNet,0.09,86.1278
Spambase,BinaryNet,0.09,84.6437
Yeast,BinaryNet,0.09,79.7157
Iris,BinaryNet,0.09,89.9732
Diabetes,BinaryNet,0.09,82.9365
Vehicle,BinaryNet,0.09,84.6787
Satellite,PBNN,0.13,90.9552
Spambase,PBNN,0.13,87.1471
Yeast,PBNN,0.13,81.2199
Iris,PBNN,0.13,92.0
Diabetes,PBNN,0.13,84.9106
Vehicle,PBNN,0.13,88.4219
Satellite,FP32,0.13,85.226
Spambase,FP32,0.13,83.1682
Yeast,FP32,0.13,79.864
Iris,FP32,0.13,89.6526
Diabetes,FP32,0.13,81.0998
Vehicle,FP32,0.13,84.0924
Satellite,BinaryNet,0.13,83.92
Spambase,BinaryNet,0.13,81.1773
Yeast,BinaryNet,0.13,79.3124
Iris,BinaryNet,0.13,87.724
Diabetes,BinaryNet,0.13,79.4913
Vehicle,BinaryNet,0.13,83.5343
Satellite,PBNN,0.18,89.8377
Spambase,PBNN,0.18,86.366
Yeast,PBNN,0.18,80.5245
Iris,PBNN,0.18,90.8526
Diabetes,PBNN,0.18,85.3535
Vehicle,PBNN,0.18,86.0739
Satellite,FP32,0.18,83.8151
Spambase,FP32,0.18,81.4797
Yeast,FP32,0.18,76.3185
Iris,FP32,0.18,86.5124
Diabetes,FP32,0.18,77.067
Vehicle,FP32,0.18,81.1405
Satellite,BinaryNet,0.18,81.0979
Spambase,BinaryNet,0.18,77.7018
Yeast,BinaryNet,0.18,76.2059
Iris,BinaryNet,0.18,83.2559
Diabetes,BinaryNet,0.18,77.148
Vehicle,BinaryNet,0.18,79.9046
Satellite,PBNN,0.22,88.413
Spambase,PBNN,0.22,83.5113
Yeast,PBNN,0.22,81.7905
Iris,PBNN,0.22,90.3682
Diabetes,PBNN,0.22,82.6748
Vehicle,PBNN,0.22,86.1297
Satellite,FP32,0.22,81.6992
Spambase,FP32,0.22,78.4598
Yeast,FP32,0.22,75.1958
Iris,FP32,0.22,84.3317
Diabetes,FP32,0.22,77.8308
Vehicle,FP32,0.22,80.5697
Satellite,BinaryNet,0.22,80.1688
Spambase,BinaryNet,0.22,75.3097
Yeast,BinaryNet,0.22,74.2064
Iris,BinaryNet,0.22,80.4383
Diabetes,BinaryNet,0.22,74.9786
Vehicle,BinaryNet,0.22,77.8707
Satellite,PBNN,0.27,86.3848
Spambase,PBNN,0.27,83.0618
Yeast,PBNN,0.27,79.5935
Iris,PBNN,0.27,88.8656
Diabetes,PBNN,0.27,81.8885
Vehicle,PBNN,0.27,85.3397
Satellite,FP32,0.27,79.4256
Spambase,FP32,0.27,75.9857
Yeast,FP32,0.27,73.4597
Iris,FP32,0.27,82.4858
Diabetes,FP32,0.27,75.9903
Vehicle,FP32,0.27,78.1437
Satellite,BinaryNet,0.27,75.2368
Spambase,BinaryNet,0.27,72.8519
Yeast,BinaryNet,0.27,70.0978
Iris,BinaryNet,0.27,79.4883
Diabetes,BinaryNet,0.27,72.0833
Vehicle,BinaryNet,0.27,74.4939
Satellite,PBNN,0.31,86.3021
Spambase,PBNN,0.31,82.2067
Yeast,PBNN,0.31,79.3177
Iris,PBNN,0.31,88.2182
Diabetes,PBNN,0.31,81.3059
Vehicle,PBNN,0.31,84.659
Satellite,FP32,0.31,77.8803
Spambase,FP32,0.31,75.2708
Yeast,FP32,0.31,71.8644
Iris,FP32,0.31,80.3368
Diabetes,FP32,0.31,73.9656
Vehicle,FP32,0.31,75.4718
Satellite,BinaryNet,0.31,73.7593
Spambase,BinaryNet,0.31,70.7959
Yeast,BinaryNet,0.31,67.1776
Iris,BinaryNet,0.31,77.0761
Diabetes,BinaryNet,0.31,69.0454
Vehicle,BinaryNet,0.31,73.6739
Satellite,PBNN,0.36,83.3752
Spambase,PBNN,0.36,80.6086
Yeast,PBNN,0.36,78.7065
Iris,PBNN,0.36,87.9133
Diabetes,PBNN,0.36,80.8793
Vehicle,PBNN,0.36,83.1827
Satellite,FP32,0.36,74.8102
Spambase,FP32,0.36,71.5022
Yeast,FP32,0.36,68.4806
Iris,FP32,0.36,77.3783
Diabetes,FP32,0.36,71.8001
Vehicle,FP32,0.36,73.2024
Satellite,BinaryNet,0.36,69.8396
Spambase,BinaryNet,0.36,67.6429
Yeast,BinaryNet,0.36,64.4303
Iris,BinaryNet,0.36,73.149
Diabetes,BinaryNet,0.36,66.0422
