Model,NoiseLevel,Accuracy
BinaryNet,0.0,89.443
BinaryNet,0.04,88.1139
BinaryNet,0.09,84.6793
BinaryNet,0.13,82.5266
BinaryNet,0.18,79.219
BinaryNet,0.22,77.1621
BinaryNet,0.27,74.042
BinaryNet,0.31,71.9214
BinaryNet,0.36,68.3832
BinaryNet,0.4,65.9889
FP32,0.0,89.6154
FP32,0.04,88.4423
FP32,0.09,85.7369
FP32,0.13,83.8505
FP32,0.18,81.0555
FP32,0.22,79.6812
FP32,0.27,77.5818
FP32,0.31,75.7983
FP32,0.36,72.8623
FP32,0.4,71.2402
PBNN,0.0,89.4917
PBNN,0.04,89.1546
PBNN,0.09,87.9103
PBNN,0.13,87.4425
PBNN,0.18,86.5014
PBNN,0.22,85.4812
PBNN,0.27,84.189
PBNN,0.31,83.6683
PBNN,0.36,82.4443
PBNN,0.4,80.9858
