Exp_1,Exp_2,Exp_3,Exp_4,Exp_5,Exp_6,Exp_7,Exp_8,Exp_9,Dataset
52.72,52.91,50.94,51.4,49.04,51.78,50.76,52.66,49.49,Diabetes
61.72,65.05,57.5,60.77,60.84,68.32,54.73,63.32,60.91,Diabetes
71.13,72.2,63.31,70.47,68.21,73.58,60.72,74.2,65.28,Diabetes
78.46,72.73,69.85,71.12,69.85,77.42,67.54,76.02,69.08,Diabetes
79.03,73.43,75.6,79.23,74.41,83.35,72.13,84.74,69.51,Diabetes
82.07,79.41,76.65,77.87,75.23,85.92,76.18,83.08,77.88,Diabetes
87.33,82.68,76.92,82.96,80.23,84.55,78.09,87.49,75.59,Diabetes
87.49,81.53,82.31,84.73,84.18,88.61,83.61,88.39,80.75,Diabetes
86.82,84.36,82.51,88.06,83.45,88.21,82.15,88.15,80.89,Diabetes
89.05,87.94,84.43,87.47,85.29,87.45,84.31,93.52,82.08,Diabetes
88.43,89.39,87.83,87.54,87.47,90.85,84.71,89.39,82.49,Diabetes
88.95,86.5,89.46,90.31,89.65,89.89,85.3,90.8,86.37,Diabetes
90.0,89.06,88.0,90.81,87.71,89.32,86.79,91.46,85.23,Diabetes
88.47,89.01,88.86,89.08,89.22,89.06,88.33,89.54,86.09,Diabetes
89.02,89.72,87.61,90.38,89.77,89.78,87.3,91.51,87.79,Diabetes
90.02,89.13,89.79,89.84,89.32,90.63,87.26,90.55,88.46,Diabetes
89.98,90.24,88.73,90.31,90.07,90.24,88.47,91.1,88.77,Diabetes
90.61,90.02,89.61,90.43,90.2,90.96,89.48,90.37,88.85,Diabetes
90.38,90.27,89.92,90.18,90.18,90.58,89.27,90.47,88.86,Diabetes
90.48,90.32,89.93,90.51,90.03,90.66,89.71,90.78,89.39,Diabetes
