Exp_1,Exp_2,Exp_3,Exp_4,Exp_5,Exp_6,Exp_7,Exp_8,Exp_9,Dataset
54.52,54.71,52.74,53.2,50.84,53.58,52.56,54.46,51.29,Iris
63.52,66.85,59.3,62.57,62.64,70.12,56.53,65.12,62.71,Iris
72.93,74.0,65.11,72.27,70.01,75.38,62.52,76.0,67.08,Iris
80.26,74.53,71.65,72.92,71.65,79.22,69.34,77.82,70.88,Iris
80.83,75.23,77.4,81.03,76.21,85.15,73.93,86.54,71.31,Iris
83.87,81.21,78.45,79.67,77.03,87.72,77.98,84.88,79.68,Iris
89.13,84.48,78.72,84.76,82.03,86.35,79.89,89.29,77.39,Iris
89.29,83.33,84.11,86.53,85.98,90.41,85.41,90.19,82.55,Iris
88.62,86.16,84.31,89.86,85.25,90.01,83.95,89.95,82.69,Iris
90.85,89.74,86.23,89.27,87.09,89.25,86.11,95.32,83.88,Iris
90.23,91.19,89.63,89.34,89.27,92.65,86.51,91.19,84.29,Iris
90.75,88.3,91.26,92.11,91.45,91.69,87.1,92.6,88.17,Iris
91.8,90.86,89.8,92.61,89.51,91.12,88.59,93.26,87.03,Iris
90.27,90.81,90.66,90.88,91.02,90.86,90.13,91.34,87.89,Iris
90.82,91.52,89.41,92.18,91.57,91.58,89.1,93.31,89.59,Iris
91.82,90.93,91.59,91.64,91.12,92.43,89.06,92.35,90.26,Iris
91.78,92.04,90.53,92.11,91.87,92.04,90.27,92.9,90.57,Iris
92.41,91.82,91.41,92.23,92.0,92.76,91.28,92.17,90.65,Iris
92.18,92.07,91.72,91.98,91.98,92.38,91.07,92.27,90.66,Iris
92.28,92.12,91.73,92.31,91.83,92.46,91.51,92.58,91.19,Iris
