Exp_1,Exp_2,Exp_3,Exp_4,Exp_5,Exp_6,Exp_7,Exp_8,Exp_9,Dataset
59.28,59.47,57.5,57.97,55.6,58.35,57.32,59.22,56.05,Satellite
66.77,70.36,62.99,65.96,66.25,73.18,60.3,67.96,66.54,Satellite
75.06,76.54,67.94,74.62,72.71,77.26,65.48,77.56,70.15,Satellite
81.57,76.31,73.78,74.48,73.61,80.26,71.62,78.54,73.29,Satellite
81.55,76.41,78.96,81.99,77.59,85.61,75.66,86.71,73.18,Satellite
84.16,81.93,79.55,80.18,77.95,87.77,79.24,84.68,81.1,Satellite
89.09,84.84,79.44,84.93,82.58,86.12,80.78,88.86,78.43,Satellite
89.03,83.41,84.53,86.44,86.23,89.98,85.99,89.6,83.27,Satellite
88.18,86.03,84.48,89.57,85.27,89.43,84.27,89.26,83.15,Satellite
90.29,89.44,86.19,88.83,86.92,88.58,86.21,94.55,84.11,Satellite
89.58,90.76,89.44,88.79,88.96,91.91,86.44,90.38,84.34,Satellite
90.03,87.76,90.93,91.47,91.01,90.9,86.88,91.76,88.07,Satellite
91.04,90.24,89.37,91.91,88.98,90.29,88.25,92.4,86.8,Satellite
89.47,90.13,90.14,90.13,90.41,90.01,89.7,90.46,87.55,Satellite
89.99,90.79,88.82,91.39,90.91,90.72,88.58,92.43,89.15,Satellite
90.97,90.16,90.94,90.83,90.4,91.56,88.47,91.47,89.75,Satellite
90.92,91.24,89.83,91.28,91.12,91.16,89.63,92.01,90.0,Satellite
91.54,91.0,90.68,91.39,91.22,91.87,90.6,91.28,90.02,Satellite
91.3,91.24,90.95,91.12,91.18,91.49,90.35,91.37,89.99,Satellite
91.4,91.27,90.94,91.43,91.0,91.57,90.76,91.68,90.48,Satellite
