Exp_1,Exp_2,Exp_3,Exp_4,Exp_5,Exp_6,Exp_7,Exp_8,Exp_9,Dataset
55.92,56.11,54.14,54.6,52.24,54.98,53.96,55.86,52.69,Spambase
64.92,68.25,60.7,63.97,64.04,71.52,57.93,66.52,64.11,Spambase
74.33,75.4,66.51,73.67,71.41,76.78,63.92,77.4,68.48,Spambase
81.66,75.93,73.05,74.32,73.05,80.62,70.74,79.22,72.28,Spambase
82.23,76.63,78.8,82.43,77.61,86.55,75.33,87.94,72.71,Spambase
85.27,82.61,79.85,81.07,78.43,89.12,79.38,86.28,81.08,Spambase
90.53,85.88,80.12,86.16,83.43,87.75,81.29,90.69,78.79,Spambase
90.69,84.73,85.51,87.93,87.38,91.81,86.81,91.59,83.95,Spambase
90.02,87.56,85.71,91.26,86.65,91.41,85.35,91.35,84.09,Spambase
92.25,91.14,87.63,90.67,88.49,90.65,87.51,96.72,85.28,Spambase
91.63,92.59,91.03,90.74,90.67,94.05,87.91,92.59,85.69,Spambase
92.15,89.7,92.66,93.51,92.85,93.09,88.5,94.0,89.57,Spambase
93.2,92.26,91.2,94.01,90.91,92.52,89.99,94.66,88.43,Spambase
91.67,92.21,92.06,92.28,92.42,92.26,91.53,92.74,89.29,Spambase
92.22,92.92,90.81,93.58,92.97,92.98,90.5,94.71,90.99,Spambase
93.22,92.33,92.99,93.04,92.52,93.83,90.46,93.75,91.66,Spambase
93.18,93.44,91.93,93.51,93.27,93.44,91.67,94.3,91.97,Spambase
93.81,93.22,92.81,93.63,93.4,94.16,92.68,93.57,92.05,Spambase
93.58,93.47,93.12,93.38,93.38,93.78,92.47,93.67,92.06,Spambase
93.68,93.52,93.13,93.71,93.23,93.86,92.91,93.98,92.59,Spambase
