Exp_1,Exp_2,Exp_3,Exp_4,Exp_5,Exp_6,Exp_7,Exp_8,Exp_9,Dataset
52.92,53.11,51.14,51.6,49.24,51.98,50.96,52.86,49.69,Vehicle
61.92,65.25,57.7,60.97,61.04,68.52,54.93,63.52,61.11,Vehicle
71.33,72.4,63.51,70.67,68.41,73.78,60.92,74.4,65.48,Vehicle
78.66,72.93,70.05,71.32,70.05,77.62,67.74,76.22,69.28,Vehicle
79.23,73.63,75.8,79.43,74.61,83.55,72.33,84.94,69.71,Vehicle
82.27,79.61,76.85,78.07,75.43,86.12,76.38,83.28,78.08,Vehicle
87.53,82.88,77.12,83.16,80.43,84.75,78.29,87.69,75.79,Vehicle
87.69,81.73,82.51,84.93,84.38,88.81,83.81,88.59,80.95,Vehicle
87.02,84.56,82.71,88.26,83.65,88.41,82.35,88.35,81.09,Vehicle
89.25,88.14,84.63,87.67,85.49,87.65,84.51,93.72,82.28,Vehicle
88.63,89.59,88.03,87.74,87.67,91.05,84.91,89.59,82.69,Vehicle
89.15,86.7,89.66,90.51,89.85,90.09,85.5,91.0,86.57,Vehicle
90.2,89.26,88.2,91.01,87.91,89.52,86.99,91.66,85.43,Vehicle
88.67,89.21,89.06,89.28,89.42,89.26,88.53,89.74,86.29,Vehicle
89.22,89.92,87.81,90.58,89.97,89.98,87.5,91.71,87.99,Vehicle
90.22,89.33,89.99,90.04,89.52,90.83,87.46,90.75,88.66,Vehicle
90.18,90.44,88.93,90.51,90.27,90.44,88.67,91.3,88.97,Vehicle
90.81,90.22,89.81,90.63,90.4,91.16,89.68,90.57,89.05,Vehicle
90.58,90.47,90.12,90.38,90.38,90.78,89.47,90.67,89.06,Vehicle
90.68,90.52,90.13,90.71,90.23,90.86,89.91,90.98,89.59,Vehicle
