,Satellite,Spambase,Yeast,Iris,Diabetes,Vehicle
Experiment_1,91.0982,94.3045,92.217,92.3243,88.9602,89.3882
Experiment_2,93.4029,94.7323,93.099,93.6407,92.4955,90.8807
Experiment_3,92.528,91.9823,92.7278,91.2987,92.5625,89.0376
Experiment_4,91.9946,95.7796,92.1649,92.5569,91.9336,92.5373
Experiment_5,90.2241,95.2298,93.4474,92.8697,89.9185,89.9351
Experiment_6,90.224,92.7494,91.558,90.6858,89.0907,91.5501
Experiment_7,89.8323,92.6273,92.1686,92.9302,91.4369,90.1468
Experiment_8,93.0647,92.6336,92.4654,91.1821,90.4606,90.9803
Experiment_9,92.0313,95.0612,97.1519,95.0116,89.4414,93.644
Mean,91.6,93.9,93,92.5,90.7,90.9
