,Satellite,Spambase,Yeast,Iris,Diabetes,Vehicle
Experiment_1,11.649080237694726,12.702230023486418,11.808484485919074,12.012139968434072,10.830103185970557,10.944076469689557
Experiment_2,12.801428612819834,12.91614515559209,12.249512863264474,12.670351922786027,12.597771074506666,11.69035382022254
Experiment_3,12.36398788362281,11.541168988591604,12.063890037284231,11.49934756431672,12.631264066149118,10.768777042230436
Experiment_4,12.097316968394074,13.43981970432399,11.782458280396083,12.128468876827222,12.316794696232922,12.518640804157563
Experiment_5,11.212037280884873,13.164885281600844,12.423705789444758,12.284829137724085,11.309227538346741,11.217559963200033
Experiment_6,11.211989040672405,11.924678221356553,11.478987721304083,11.192900825439995,10.895344228012767,12.025044568707964
Experiment_7,11.0161672243364,11.863649934414202,11.784289297070435,12.315089703802876,12.068466053024313,11.323422152178821
Experiment_8,12.632352291549871,11.866809019706867,11.932723686587384,11.441048247374583,11.580304987479202,11.740136042355621
Experiment_9,12.115640460025006,13.080613670927434,14.27594783872948,13.35582375329443,11.070724170277728,13.071989137257475
Mean,11.9,12.5,12.2,12.1,11.7,11.7
