,Satellite,Spambase,Yeast,Iris,Diabetes,Vehicle
Experiment_1,293.836204,317.93345,302.527267,303.0821,278.051548,280.661147
Experiment_2,311.121429,321.142177,309.142693,312.955279,304.566566,291.855307
Experiment_3,304.559818,300.517535,306.358351,295.390213,305.068961,278.031656
Experiment_4,300.559755,328.997296,302.136874,304.827033,300.35192,304.279612
Experiment_5,287.280559,324.873279,311.755587,307.172437,285.238413,284.763399
Experiment_6,287.279836,306.270173,297.584816,290.793512,279.030163,296.875669
Experiment_7,284.342508,305.354749,302.164339,307.626346,296.626991,286.351332
Experiment_8,308.585284,305.402135,304.390855,294.515724,289.304575,292.602041
Experiment_9,300.834607,323.609205,339.539218,323.237356,281.660863,312.579837
Mean,297.6,314.9,308.4,304.4,291.1,292
