Training log for Iris dataset
Epoch, Loss, Accuracy
1, 4.110467942728821988, 61.3422
2, 3.529215392063679957, 63.4343
3, 3.536137623115494844, 67.2235
4, 2.841339935252725990, 71.2822
5, 2.433888637007008082, 75.6864
6, 2.166646908376395508, 80.0165
7, 1.761978355621839798, 78.3228
8, 1.609790525748132417, 80.0331
9, 1.324224589826886511, 79.5554
10, 1.303834673096901486, 81.8042
11, 0.995412806994323773, 87.9163
12, 0.966759546026560113, 88.8534
13, 0.900382594554078319, 89.3705
14, 0.725374472864144915, 88.7649
15, 0.703015342566690848, 87.0040
16, 0.504245076224159150, 90.0369
17, 0.450420356423873847, 87.8774
18, 0.459378243731205060, 90.0864
19, 0.385988397236245506, 92.6311
20, 0.302294147880881103, 89.8588
21, 0.298538327451987162, 92.1739
22, 0.318030539972551596, 93.3571
23, 0.235708250558863130, 90.2205
24, 0.228296037863115142, 92.3323
25, 0.198127086788792262, 90.6971
26, 0.190490933835010090, 90.9333
27, 0.175170907033196072, 90.7954
28, 0.161862924296302030, 91.3520
29, 0.145054425223784283, 92.5037
30, 0.134023406004779966, 93.9514
31, 0.117792551125636719, 94.7763
32, 0.106202023478154425, 94.0964
33, 0.094062977050845112, 92.5274
34, 0.075846460046894548, 93.1110
35, 0.081228826291947206, 91.5084
36, 0.073551286240110064, 93.9235
37, 0.069426601000852989, 91.7248
38, 0.068467433333333327, 94.5977
39, 0.068634466666666671, 94.0966
40, 0.068786433333333341, 93.6407
