Training log for Satellite dataset
Epoch, Loss, Accuracy
1, 4.125472856340299366, 60.4710
2, 3.648505868254294349, 61.8408
3, 3.746820652560595821, 65.0894
4, 3.100331601965627293, 68.7662
5, 2.728757569396550231, 72.9415
6, 2.488561047370538404, 77.1677
7, 2.092858637573174807, 75.1549
8, 1.955301220306582710, 76.7826
9, 1.663390469496598412, 76.1407
10, 1.657947844858191688, 78.4523
11, 1.313525617053987515, 84.9764
12, 1.291352657595926212, 85.9893
13, 1.223413880086994254, 86.5746
14, 1.021902889528290448, 85.9568
15, 1.003342426348444505, 84.0830
16, 0.755975083838197115, 87.4669
17, 0.691200777579374481, 85.1623
18, 0.704404735617049527, 87.6730
19, 0.606999363782944834, 90.5730
20, 0.494426328448626884, 87.5826
21, 0.489386614825694122, 90.2426
22, 0.521350744176421133, 91.6503
23, 0.400360150861883535, 88.2245
24, 0.390922030062933301, 90.6695
25, 0.344893009559377517, 88.9062
26, 0.335881475041447164, 89.2403
27, 0.313327710196050102, 89.1482
28, 0.293998738886160682, 89.8372
29, 0.266598642831282762, 91.1985
30, 0.250722459957056443, 92.8963
31, 0.220898849664694169, 93.8860
32, 0.199739263846009124, 93.1582
33, 0.173134362118849527, 91.4076
34, 0.118806380900765174, 92.1097
35, 0.151194345603793162, 90.3048
36, 0.133459076348325489, 93.1014
37, 0.126779849078760304, 90.6007
38, 0.106655194696822747, 93.9264
39, 0.120299443535468883, 93.3708
40, 0.093647918853920945, 93.8459
41, 0.101184934641370794, 93.4327
42, 0.091062202131414624, 93.4425
43, 0.087057917607790331, 94.3535
44, 0.082297426441024044, 94.2184
45, 0.079837944559779633, 91.4491
46, 0.072501451055562577, 92.7993
47, 0.069006433333333325, 92.9807
48, 0.069427733333333339, 91.7168
49, 0.069355900000000012, 91.9323
50, 0.068865700000000016, 93.4029
