Training log for Vehicle dataset
Epoch, Loss, Accuracy
1, 3.786581884721908597, 42.0508
2, 3.646106433226169674, 44.8644
3, 3.165799973783760546, 47.9731
4, 2.632419861602214528, 47.4184
5, 2.305188641357790669, 56.9333
6, 2.188347225342389013, 57.3145
7, 1.676777948061447532, 63.3996
8, 1.614520517385643172, 61.7885
9, 1.603540344081715974, 62.7572
10, 1.343152086496108621, 70.7816
11, 1.434370184235606693, 68.1748
12, 1.054516941629494164, 71.2409
13, 0.911865809681829065, 72.2822
14, 0.836614164200452981, 72.2417
15, 0.804991816196256038, 78.4318
16, 0.714497650918750282, 79.6259
17, 0.804777178208265664, 81.4077
18, 0.576412380996745299, 78.9397
19, 0.541116650313253067, 83.1038
20, 0.544713171634263471, 81.0542
21, 0.442446976752890075, 83.0381
22, 0.441936660946147919, 80.5875
23, 0.389328099954793005, 85.5075
24, 0.380894942846358775, 82.9833
25, 0.262951267489290819, 83.3486
26, 0.324177155042001730, 82.5871
27, 0.265056759407771902, 85.6532
28, 0.256457405316590781, 85.7231
29, 0.222396274449662201, 86.8258
30, 0.257804444785630638, 88.6907
31, 0.157768052124875491, 88.6332
32, 0.220949206523118669, 88.8711
33, 0.171457025969934979, 87.4184
34, 0.201750818220548911, 85.8451
35, 0.186183342686357278, 86.3851
36, 0.171863636765490935, 89.7429
37, 0.163866381503841030, 87.6845
38, 0.169542610769662067, 89.6248
39, 0.139054348131016886, 88.9707
40, 0.135815456407270441, 88.9017
41, 0.133134254031180482, 87.6523
42, 0.136121209805448090, 90.0681
43, 0.125660821023393793, 87.5857
44, 0.129809973963976366, 88.3841
45, 0.122487363079971961, 90.5531
46, 0.119589296932127762, 89.6738
47, 0.118297397805980753, 88.7010
48, 0.116354517828462387, 89.1430
49, 0.114512619441600419, 88.6750
50, 0.112416530320170960, 89.3882
