,Method,Accuracy,Memory,Epoch
0,XNOR,81.9697,198.61,98
1,XNOR,80.6364,229.93,95
2,XNOR,81.0606,235.72,96
3,XNOR,80.5758,217.95,94
4,XNOR,80.0909,225.32,98
5,XNOR,79.4848,203.2,95
6,XNOR,79.0,233.76,96
7,XNOR,79.0909,202.67,98
8,XNOR,80.0,208.22,98
9,XNOR,80.1515,221.65,94
10,XNOR,80.6061,225.97,93
11,XNOR,79.3333,227.86,95
12,XNOR,81.8182,230.44,94
13,XNOR,79.4848,198.61,95
14,XNOR,79.6667,225.24,94
15,XNOR,79.3939,223.05,96
16,XNOR,80.1212,219.33,96
17,XNOR,80.1212,218.93,96
18,XNOR,79.8788,216.65,96
19,XNOR,80.8788,224.0,93
20,XNOR,81.9091,226.46,95
21,XNOR,80.5152,222.77,95
22,XNOR,79.0909,212.56,94
23,XNOR,81.2121,225.83,95
24,XNOR,81.6364,194.84,95
25,XNOR,80.5758,207.76,95
26,XNOR,81.2424,196.12,96
27,XNOR,80.6364,217.93,92
28,XNOR,79.4545,220.34,98
29,XNOR,80.6667,210.51,93
30,XNOR,81.0,214.95,98
31,XNOR,80.4848,218.67,96
32,XNOR,79.5455,228.09,96
33,XNOR,81.7576,207.77,95
34,XNOR,79.6061,216.39,95
35,XNOR,79.3333,201.71,94
36,XNOR,80.4545,214.45,93
37,XNOR,79.7879,194.55,95
38,XNOR,81.5758,196.37,95
39,XNOR,80.8788,209.04,95
40,XNOR,79.7576,230.09,97
41,XNOR,81.9697,200.78,96
42,XNOR,80.3939,208.75,95
43,XNOR,79.3939,219.37,97
44,XNOR,81.3333,212.69,96
45,XNOR,79.3939,199.2,98
46,XNOR,79.0606,231.24,96
47,XNOR,80.1212,215.7,93
48,XNOR,80.9091,204.41,96
49,XNOR,81.2121,217.04,94
50,XNOR,81.5758,206.91,95
51,XNOR,79.7273,231.04,95
52,XNOR,79.7273,221.98,95
53,XNOR,79.5152,196.6,95
54,XNOR,80.0,216.77,96
55,XNOR,81.4848,209.1,95
56,XNOR,80.5455,220.55,96
57,XNOR,80.7576,208.13,95
58,XNOR,79.9697,193.19,98
59,XNOR,81.0909,208.53,98
60,XNOR,81.8182,200.87,95
61,XNOR,81.8182,200.3,97
62,XNOR,79.2424,196.31,95
63,XNOR,80.1818,222.74,93
64,XNOR,81.8485,231.3,95
65,XNOR,81.7576,232.19,96
66,XNOR,79.1515,234.66,95
67,XNOR,80.5152,228.05,98
68,XNOR,81.3636,215.8,96
69,XNOR,80.5152,228.81,95
70,XNOR,81.0909,234.36,97
71,XNOR,79.5455,201.42,93
72,XNOR,79.3333,197.79,96
73,XNOR,79.3939,205.24,96
74,XNOR,79.303,232.82,96
75,XNOR,79.0606,195.09,93
76,XNOR,79.2727,216.38,96
77,XNOR,80.303,201.52,96
78,XNOR,79.0303,196.64,94
79,XNOR,81.1818,225.45,92
80,XNOR,79.4242,213.08,97
81,XNOR,81.8182,197.44,96
82,XNOR,80.8485,224.84,93
83,XNOR,81.3333,232.86,92
84,XNOR,79.2424,201.66,96
85,XNOR,80.0303,232.58,94
86,XNOR,79.6364,194.93,94
87,XNOR,81.1515,228.36,93
88,XNOR,80.7879,199.88,94
89,XNOR,80.0909,227.78,95
90,XNOR,79.7576,231.78,95
91,XNOR,80.2424,209.69,96
92,XNOR,81.1515,211.69,93
93,XNOR,79.9394,212.7,93
