Dataset,Model,NoiseLevel,Accuracy
Satellite,PBNN,0.0,92.0
Spambase,PBNN,0.0,90.7262
Yeast,PBNN,0.0,85.613
Iris,PBNN,0.0,92.0
Diabetes,PBNN,0.0,88.8521
Vehicle,PBNN,0.0,90.279
Satellite,FP32,0.0,92.0
Spambase,FP32,0.0,89.5101
Yeast,FP32,0.0,85.7781
Iris,FP32,0.0,92.0
Diabetes,FP32,0.0,88.3196
Vehicle,FP32,0.0,90.9984
Satellite,BinaryNet,0.0,92.0
Spambase,BinaryNet,0.0,90.2674
Yeast,BinaryNet,0.0,87.4225
Iris,BinaryNet,0.0,92.0
Diabetes,BinaryNet,0.0,88.9979
Vehicle,BinaryNet,0.0,90.7467
Satellite,PBNN,0.03,92.0
Spambase,PBNN,0.03,88.3134
Yeast,PBNN,0.03,84.4882
Iris,PBNN,0.03,92.0
Diabetes,PBNN,0.03,86.0609
Vehicle,PBNN,0.03,89.6394
Satellite,FP32,0.03,90.4427
Spambase,FP32,0.03,88.5703
Yeast,FP32,0.03,84.9234
Iris,FP32,0.03,92.0
Diabetes,FP32,0.03,88.0103
Vehicle,FP32,0.03,89.0885
Satellite,BinaryNet,0.03,90.0313
Spambase,BinaryNet,0.03,88.5435
Yeast,BinaryNet,0.03,83.2938
Iris,BinaryNet,0.03,92.0
Diabetes,BinaryNet,0.03,87.8936
Vehicle,BinaryNet,0.03,88.8747
Satellite,PBNN,0.07,89.4695
Spambase,PBNN,0.07,89.3231
Yeast,PBNN,0.07,84.3484
Iris,PBNN,0.07,92.0
Diabetes,PBNN,0.07,85.7645
Vehicle,PBNN,0.07,88.8605
Satellite,FP32,0.07,89.6542
Spambase,FP32,0.07,87.0876
Yeast,FP32,0.07,82.8899
Iris,FP32,0.07,92.0
Diabetes,FP32,0.07,84.9959
Vehicle,FP32,0.07,88.0361
Satellite,BinaryNet,0.07,89.0462
Spambase,BinaryNet,0.07,86.7616
Yeast,BinaryNet,0.07,83.1193
Iris,BinaryNet,0.07,91.1503
Diabetes,BinaryNet,0.07,83.9227
Vehicle,BinaryNet,0.07,88.4721
Satellite,PBNN,0.1,90.5659
Spambase,PBNN,0.1,87.1012
Yeast,PBNN,0.1,85.1409
Iris,PBNN,0.1,92.0
Diabetes,PBNN,0.1,87.4434
Vehicle,PBNN,0.1,88.854
Satellite,FP32,0.1,90.2486
Spambase,FP32,0.1,87.4043
Yeast,FP32,0.1,82.0008
Iris,FP32,0.1,92.0
Diabetes,FP32,0.1,85.3163
Vehicle,FP32,0.1,88.1949
Satellite,BinaryNet,0.1,86.8281
Spambase,BinaryNet,0.1,85.5488
Yeast,BinaryNet,0.1,82.0467
Iris,BinaryNet,0.1,89.293
Diabetes,BinaryNet,0.1,82.8534
Vehicle,BinaryNet,0.1,84.4686
Satellite,PBNN,0.13,89.5445
Spambase,PBNN,0.13,87.734
Yeast,PBNN,0.13,84.5619
Iris,PBNN,0.13,92.0
Diabetes,PBNN,0.13,87.2629
Vehicle,PBNN,0.13,87.1559
Satellite,FP32,0.13,86.1873
Spambase,FP32,0.13,84.9056
Yeast,FP32,0.13,81.4573
Iris,FP32,0.13,90.6238
Diabetes,FP32,0.13,82.096
Vehicle,FP32,0.13,85.9787
Satellite,BinaryNet,0.13,85.2064
Spambase,BinaryNet,0.13,84.1857
Yeast,BinaryNet,0.13,80.1433
Iris,BinaryNet,0.13,88.5981
Diabetes,BinaryNet,0.13,82.0389
Vehicle,BinaryNet,0.13,83.9026
Satellite,PBNN,0.17,88.9899
Spambase,PBNN,0.17,87.2041
Yeast,PBNN,0.17,81.8514
Iris,PBNN,0.17,92.0
Diabetes,PBNN,0.17,84.8158
Vehicle,PBNN,0.17,86.9057
Satellite,FP32,0.17,86.0644
Spambase,FP32,0.17,82.7218
Yeast,FP32,0.17,79.3071
Iris,FP32,0.17,88.2917
Diabetes,FP32,0.17,83.9218
Vehicle,FP32,0.17,84.6782
Satellite,BinaryNet,0.17,83.8902
Spambase,BinaryNet,0.17,82.0212
Yeast,BinaryNet,0.17,77.9601
Iris,BinaryNet,0.17,87.3732
Diabetes,BinaryNet,0.17,81.1413
Vehicle,BinaryNet,0.17,83.556
Satellite,PBNN,0.2,88.0756
