Model,NoiseLevel,Accuracy
BinaryNet,0.0,89.1051
BinaryNet,0.06,86.3041
BinaryNet,0.11,82.8772
BinaryNet,0.17,79.523
BinaryNet,0.22,75.9223
BinaryNet,0.28,72.1878
BinaryNet,0.33,69.138
BinaryNet,0.39,64.8426
BinaryNet,0.44,61.849
BinaryNet,0.5,58.4034
FP32,0.0,89.5992
FP32,0.06,86.6198
FP32,0.11,83.9142
FP32,0.17,80.7768
FP32,0.22,78.0268
FP32,0.28,74.6322
FP32,0.33,72.1901
FP32,0.39,68.6416
FP32,0.44,65.9971
FP32,0.5,62.408
PBNN,0.0,89.6888
PBNN,0.06,88.0051
PBNN,0.11,86.8441
PBNN,0.17,85.7561
PBNN,0.22,84.0092
PBNN,0.28,82.1507
PBNN,0.33,81.0948
PBNN,0.39,78.8543
PBNN,0.44,77.8204
PBNN,0.5,76.8244
